Listing Name,Price,Room Type,Reviews,Location
"Williamsburg, Large Private Room",59,Private room,12 reviews,"Williamsburg, Brooklyn"
Bedroom with Garden at the Back,63,Private room,117 reviews,"Clinton Hill, Brooklyn"
Bohemian Paradise in Industrial BK,90,Private room,58 reviews,"Williamsburg, Brooklyn"
Cozy in a Nice Convenient Area,39,Private room,1 review,"Crown Heights, Brooklyn"
VALENTINES DAY SPECIAL --,99,Entire home/apt,20 reviews,"Prospect Heights, Brooklyn"
Large sunny room across from park,54,Private room,3 reviews,"Bushwick, Brooklyn"
Beautiful + Sunny Fort Greene 1BR,126,Entire home/apt,34 reviews,"Clinton Hill, Brooklyn"
Only 1 minute-walk to Park & Metro!,56,Private room,29 reviews,"Lefferts Garden, Brooklyn"
Central Williamsburg with Garden,59,Private room,25 reviews,"Williamsburg, Brooklyn"
Sunny private room in Clinton Hill,45,Private room,"Clinton Hill, Brooklyn",
The Notorious B.N.B. { Erhart II },180,Private room,24 reviews,"Clinton Hill, Brooklyn"
Luxury Private Room in Williamsburg,59,Private room,1 review,"Williamsburg, Brooklyn"
BEST BK Neighborhood! Steps 2 train,71,Entire home/apt,12 reviews,"Clinton Hill, Brooklyn"
Park Slope Private Room and Bath,59,Private room,29 reviews,"Park Slope, Brooklyn"
"Heart of Williamsburg, Best Price!",59,Private room,3 reviews,"Williamsburg, Brooklyn"
Sunny & modern  1bd/1ba home,127,Entire home/apt,11 reviews,"Clinton Hill, Brooklyn"
Modern Penthouse Apt in Greenpoint,135,Entire home/apt,61 reviews,"Greenpoint, Brooklyn"
"Fresh, Clean Brooklyn Garden Apt.",136,Entire home/apt,70 reviews,"Clinton Hill, Brooklyn"
Perfect bedroom–unbeatable location,122,Private room,25 reviews,"Williamsburg, Brooklyn"
Private Bedroom,53,Private room,10 reviews,"Bushwick, Brooklyn"
Lively loft!,44,Private room,68 reviews,"Williamsburg, Brooklyn"
Private Room In a Modern HUGE Loft,90,Private room,38 reviews,"Williamsburg, Brooklyn"
Bohemian Brooklyn Experience,72,Entire home/apt,3 reviews,"Crown Heights, Brooklyn"
Sunny Bedroom in Williamsburg Loft,45,Private room,20 reviews,"Williamsburg, Brooklyn"
Bright Bedroom on Bedford Stop,72,Private room,3 reviews,"Williamsburg, Brooklyn"
Private room in Brooklyn,161,Private room,16 reviews,"Park Slope, Brooklyn"
Charming 2 BR Duplex-- Clinton Hill,167,Entire home/apt,68 reviews,"Clinton Hill, Brooklyn"
Designer 1 Bedroom in Williamsburg,131,Entire home/apt,21 reviews,"Williamsburg, Brooklyn"
Room in beautiful friendly house,50,Private room,12 reviews,"Bushwick, Brooklyn"
Luxury & style in hip Williamsburg,172,Entire home/apt,23 reviews,"Williamsburg, Brooklyn"
Spacious Room in Brooklyn for 2!,50,Private room,15 reviews,"Bedford-Stuyvesant, Brooklyn"
*Sunny Airy 1BR Loft Williamsburg*,176,Entire home/apt,59 reviews,"Williamsburg, Brooklyn"
"Beautiful 4 BR,  #1, BEST LOCATION",83,Private room,110 reviews,"Park Slope, Brooklyn"
9 B Private Room in Lux Loft,90,Private room,11 reviews,"Williamsburg, Brooklyn"
Luxury Waterfront Studio w/POOL GYM,163,Entire home/apt,7 reviews,"Williamsburg, Brooklyn"
Radiant Cobble Hill - 1 bedroom,107,Entire home/apt,18 reviews,"Boerum Hill, Brooklyn"
Airy Designer Loft in Williamsburg,217,Entire home/apt,7 reviews,"Williamsburg, Brooklyn"
Cozy BR in Wiliamsburg 2 Bedroom,68,Private room,68 reviews,"Williamsburg, Brooklyn"
"Spacious, Spotless 1Bd- BK Heights!",136,Entire home/apt,92 reviews,"Brooklyn Heights, Brooklyn"
Vintage Loft in S. Williamsburg,104,Entire home/apt,31 reviews,"Williamsburg, Brooklyn"
Stay in super cool williamsburg! :),45,Private room,3 reviews,"Williamsburg, Brooklyn"
Huge BR in W'Burg - pvt terrace,99,Private room,4 reviews,"Williamsburg, Brooklyn"
Large and Cozy Private Bedroom,41,Private room,30 reviews,"Kensington, Brooklyn"
House on 11th - Garden Level Apt.,149,Entire home/apt,102 reviews,"Gowanus, Brooklyn"
Comfy bed in friendly Homestel #1,29,Shared room,9 reviews,"Bedford-Stuyvesant, Brooklyn"
"Private, Full Room, Very Quiet!",63,Private room,132 reviews,"Williamsburg, Brooklyn"
Cozy 2 br in sunny Fort Greene apt,90,Private room,12 reviews,"Fort Greene, Brooklyn"
Charming and Cozy 1 Bedroom,131,Entire home/apt,8 reviews,"Carroll Gardens, Brooklyn"
Gorgeous studio in Brooklyn Heights,117,Entire home/apt,7 reviews,"Brooklyn Heights, Brooklyn"
*** BEST APT EVER!!-AVAILABLE NOW!,93,Private room,31 reviews,"Williamsburg, Brooklyn"
Specious room in Brooklyn!!,68,Private room,4 reviews,"Crown Heights, Brooklyn"
"Great apartment in Williamsburg, NY",81,Entire home/apt,13 reviews,"Williamsburg, Brooklyn"
1b prime N Williamsburg NYC,127,Entire home/apt,5 reviews,"Williamsburg, Brooklyn"
Spacious Studio in Center Slope,122,Entire home/apt,15 reviews,"Park Slope, Brooklyn"
Cute Bright Loft Bedroom,72,Private room,104 reviews,"Williamsburg, Brooklyn"
"Cozy, Light, Park Slope Retreat",113,Entire home/apt,2 reviews,"Park Slope, Brooklyn"
1 BR Williamsburg Water Front Loft,127,Entire home/apt,5 reviews,"Williamsburg, Brooklyn"
Modern Meets Vintage in Cobble Hill,71,Private room,42 reviews,"Boerum Hill, Brooklyn"
Spacious Williamsburg Loft @Bedford,80,Private room,29 reviews,"Williamsburg, Brooklyn"
Large Room in Williamsburg,45,Private room,1 review,"Williamsburg, Brooklyn"
Spacious 2 BR apartment in Bed-Stuy,128,Entire home/apt,10 reviews,"Bedford-Stuyvesant, Brooklyn"
Large Room in Modern Sunny Loft,63,Private room,15 reviews,"Williamsburg, Brooklyn"
BEST LOCATION IN WILLIAMSBURG,126,Entire home/apt,47 reviews,"Williamsburg, Brooklyn"
Private Bedroom in the loft,54,Private room,17 reviews,"Bushwick, Brooklyn"
Bedroom in Brooklyn (Cobble Hill),63,Private room,1 review,"Downtown Brooklyn, Brooklyn"
Private Brooklyn Studio,90,Entire home/apt,21 reviews,"Fort Greene, Brooklyn"
Bright Spacious 2-bedroom,109,Entire home/apt,6 reviews,"Crown Heights, Brooklyn"
Prime Park Slope Quiet BR w Kitchen,99,Entire home/apt,55 reviews,"Park Slope, Brooklyn"
Cozy Bedroom in Williamsburg 2 BR,72,Private room,73 reviews,"Williamsburg, Brooklyn"
Private room off L train,59,Private room,4 reviews,"Williamsburg, Brooklyn"
Prime Williamsburg Loft off Bedford,108,Private room,51 reviews,"Williamsburg, Brooklyn"
"Steps From Art, Shopping & Eats",136,Entire home/apt,11 reviews,"Prospect Heights, Brooklyn"
"Big Sunny Guest Room, W'burg Bridge",67,Private room,111 reviews,"Williamsburg, Brooklyn"
Trendy 1 bdr Prospect Heights BKLYN,59,Private room,50 reviews,"Crown Heights, Brooklyn"
Bohemian 1bd in Trendy Neighborhood,71,Private room,5 reviews,"Clinton Hill, Brooklyn"
Great location w/ Terrace! W&D!,113,Entire home/apt,2 reviews,"Williamsburg, Brooklyn"
"Great loft, perfect location",127,Entire home/apt,11 reviews,"Williamsburg, Brooklyn"
Sunny+Cozy Double bedroom in BKLYN!,52,Private room,79 reviews,"East Flatbush, Brooklyn"
Prospect Heights: Bright 1 BR,90,Entire home/apt,1 review,"Crown Heights, Brooklyn"
Comfy bed in friendly Homestel #A,30,Shared room,26 reviews,"Bedford-Stuyvesant, Brooklyn"
Comfy bed in friendly Homestel #A,30,Shared room,26 reviews,"Bedford-Stuyvesant, Brooklyn"
1BD brownstone apt in Fort Greene!,109,Entire home/apt,17 reviews,"Fort Greene, Brooklyn"
Beautiful Apartment in Williamsburg,127,Entire home/apt,2 reviews,"Williamsburg, Brooklyn"
NYC Large Sunny Room Artist Home!,54,Private room,10 reviews,"Bushwick, Brooklyn"
Bed-Stuy Private Quiet Queen Room,45,Private room,"Bedford-Stuyvesant, Brooklyn",
Spacious Heart of Ft. Greene Studio,90,Entire home/apt,31 reviews,"Fort Greene, Brooklyn"
Sun-drenched 1 Bedroom on the Park,117,Entire home/apt,25 reviews,"Greenpoint, Brooklyn"
Large peaceful room nr Prospect Pk,77,Private room,12 reviews,"Park Slope, Brooklyn"
Huge Sunny Apt Hip/Family Area,45,Private room,6 reviews,"Clinton Hill, Brooklyn"
Large room in two-story Brownstown,68,Private room,"Prospect Heights, Brooklyn",
Huge Brooklyn Loft with Roofdeck,149,Entire home/apt,42 reviews,"Williamsburg, Brooklyn"
Experience NYC For $26 Per Night!,24,Shared room,50 reviews,"Bedford-Stuyvesant, Brooklyn"
Perfect room in Prime Williamsburg,68,Private room,24 reviews,"Williamsburg, Brooklyn"
B King Bed 2 Awesome Luxury Apt,90,Private room,21 reviews,"Williamsburg, Brooklyn"
Big sunny room in Central Brooklyn,63,Private room,5 reviews,"Midwood, Brooklyn"
Bright BK studio apt (Ft. Greene),86,Entire home/apt,17 reviews,"Fort Greene, Brooklyn"
Bright Box Factory Loft,45,Private room,51 reviews,"Greenpoint, Brooklyn"
Huge studio-Clinton Hill w/balcony,113,Entire home/apt,4 reviews,"Clinton Hill, Brooklyn"
BED & BATHROOM in BROOKLYN,63,Private room,24 reviews,"Bedford-Stuyvesant, Brooklyn"
Spacious and Light Brooklyn Loft,199,Entire home/apt,7 reviews,"Williamsburg, Brooklyn"
Awesome studio in Bushwick!!!,80,Entire home/apt,21 reviews,"Bushwick, Brooklyn"
Charming Room Private Entry Wburg,72,Private room,30 reviews,"Williamsburg, Brooklyn"
3 Bed (2 Bath) Williamsburg Duplex!,194,Entire home/apt,15 reviews,"Williamsburg, Brooklyn"
Brooklyn - Boerum Hill Beauty,181,Entire home/apt,6 reviews,"Boerum Hill, Brooklyn"
"East River Queen, & outdoor deck!",158,Entire home/apt,53 reviews,"Williamsburg, New York"
Great room in hip Williamsburg,68,Private room,77 reviews,"Williamsburg, Brooklyn"
Luxury Landmark Converted Stable,543,Entire home/apt,106 reviews,"Clinton Hill, Brooklyn"
Sunfilled Skylit Townhouse 3BD,167,Entire home/apt,73 reviews,"Clinton Hill, Brooklyn"
Apt with pilates studio in Wllmsbrg,72,Private room,111 reviews,"Williamsburg, Brooklyn"
Luxury Modern Loft,182,Entire home/apt,7 reviews,"Williamsburg, Brooklyn"
Luxury Flat with Outdoor & Office,226,Entire home/apt,22 reviews,"DUMBO, Brooklyn"
SUNNY ROOM A- 15 MINUTES >MANHATTAN,71,Private room,17 reviews,"Bushwick, Brooklyn"
Waterbury House East Williamsburg 2,95,Private room,64 reviews,"Williamsburg, Brooklyn"
Private Skylight Room in BK Duplex,90,Private room,8 reviews,"Williamsburg, Brooklyn"
Inspiring spacious loft space,109,Private room,12 reviews,"Williamsburg, Brooklyn"
"Brooklyn Brownstone, Private Room",77,Private room,77 reviews,"Prospect Heights, Brooklyn"
Sunlit Room in Large Bright Apt.,63,Private room,3 reviews,"Park Slope, Brooklyn"
Private Room/Heart of Williamsburg,77,Shared room,14 reviews,"Williamsburg, Brooklyn"
"Dreamy room, eclectic Bushwick apt",32,Private room,14 reviews,"Bushwick, Brooklyn"
Private Room in Victorian House,68,Private room,22 reviews,"Flatbush, Brooklyn"
Private Nautical Loft in Bushwick,53,Private room,6 reviews,"Williamsburg, Brooklyn"
Pretty and Private in Clinton Hill,90,Private room,6 reviews,"Clinton Hill, Brooklyn"
Cozy room in Greenpoint Apartment!,54,Private room,2 reviews,"Greenpoint, Brooklyn"
Charming Bedroom - Private Entrance,90,Private room,26 reviews,"Carroll Gardens, Brooklyn"
Super Cute & Sunny Clinton Hill Apt,54,Private room,1 review,"Clinton Hill, Brooklyn"
Spacious room in pretty apt w deck,50,Private room,3 reviews,"Kensington, Brooklyn"
"Private Room, Williamsburg Duplex",113,Private room,2 reviews,"Williamsburg, Brooklyn"
Beautiful communal house Bushwick,54,Private room,7 reviews,"Bushwick, Brooklyn"
Large Private B&B Style Studio,72,Entire home/apt,48 reviews,"Bedford-Stuyvesant, Brooklyn"
Affordable Furnished Apartment,90,Entire home/apt,69 reviews,"Boerum Hill, Brooklyn"
"Sunny 1BR, steps to Montrose L",136,Entire home/apt,14 reviews,"Williamsburg, Brooklyn"
"Spacious, sunny Park Slope sublet",163,Entire home/apt,2 reviews,"Park Slope, Brooklyn"
Experience NYC For $26 Per Night!,24,Shared room,56 reviews,"Bedford-Stuyvesant, Brooklyn"
Beautiful Spot on Manhattan Ave.,53,Private room,7 reviews,"Greenpoint, Brooklyn"
Place (Room),53,Private room,58 reviews,"Bedford-Stuyvesant, Brooklyn"
Beautiful Spot on Manhattan Ave.,53,Private room,7 reviews,"Greenpoint, Brooklyn"
Experience NYC For $26 Per Night!,24,Shared room,56 reviews,"Bedford-Stuyvesant, Brooklyn"
1BR Brownstone w/NYC Skyline View!,176,Entire home/apt,3 reviews,"Park Slope, Brooklyn"
Williamsburg 1st stop 3 bedroom,167,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Park Slope Private Bed+Livingroom!,72,Private room,47 reviews,"Park Slope, Brooklyn"
Lovely sun-lit 3-bedroom apartment,158,Entire home/apt,25 reviews,"Bedford-Stuyvesant, Brooklyn"
Charming 3bd Bedford Ave Apartment,203,Entire home/apt,59 reviews,"Williamsburg, Brooklyn"
Large 1BR right by Prospect Park,86,Entire home/apt,3 reviews,"Windsor Terrace, Brooklyn"
Rare Historic Gem in Williamsburg,80,Private room,70 reviews,"Williamsburg, Brooklyn"
Experience NYC For $26 Per Night!,24,Shared room,50 reviews,"Bedford-Stuyvesant, Brooklyn"
Charm & Beauty close to Manhattan,90,Entire home/apt,33 reviews,"Bedford-Stuyvesant, Brooklyn"
"Full bed in Bushwick, Brooklyn",59,Private room,9 reviews,"Bedford-Stuyvesant, Brooklyn"
"Sun-filled, Quiet, Eclectic apt",66,Private room,1 review,"Park Slope, Brooklyn"
Private Room in Beautiful Brooklyn,59,Private room,23 reviews,"Flatbush, Brooklyn"
Beautiful new loft in greenpoint,81,Entire home/apt,15 reviews,"Greenpoint, Brooklyn"
Bright and Quiet 2 BR in Park Slope,181,Entire home/apt,5 reviews,"Park Slope, Brooklyn"
A special home in Brooklyn,226,Entire home/apt,"Clinton Hill, Brooklyn",
Luxury Penthouse with Terrace,316,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
"Minutes from Manhattan, Big Room!",45,Private room,5 reviews,"Lefferts Garden, Brooklyn"
"Quiet, exposed brick, huge windows",72,Private room,4 reviews,"Flatbush, Brooklyn"
Dream Loft 10 Min to Manhattan,86,Private room,26 reviews,"Williamsburg, Brooklyn"
Great Apt in HEART of Williamsburg!,131,Entire home/apt,25 reviews,"Williamsburg, Brooklyn"
Beautiful Brooklyn Condo Room 1,81,Private room,1 review,"Bushwick, Brooklyn"
Large 1-Bedroom Apt - Clinton Hill,80,Entire home/apt,5 reviews,"Clinton Hill, Brooklyn"
Adorable studio in Park Slope!,122,Entire home/apt,11 reviews,"Park Slope, Brooklyn"
Tiny Cozy Room in Artist Collective,41,Private room,2 reviews,"Williamsburg, Brooklyn"
Luxury W-Burg With Private Entrance,149,Entire home/apt,37 reviews,"Williamsburg, Brooklyn"
Perfect New York Studio Apartment,90,Entire home/apt,2 reviews,"Prospect Heights, Brooklyn"
The Institute—Heart of Williamsburg,226,Entire home/apt,107 reviews,"Williamsburg, Brooklyn"
Wake up with NYC outside yr window!,54,Private room,6 reviews,"Prospect Heights, Brooklyn"
Private Master Suite in Park Slope,104,Private room,96 reviews,"Park Slope, Brooklyn"
That's the Brooklyn way,54,Entire home/apt,2 reviews,"Bedford-Stuyvesant, Brooklyn"
Mayor's Mansion - Carlton Suite,109,Private room,54 reviews,"Fort Greene, Brooklyn"
Huge bedroom in Brooklyn loft!,50,Private room,"Bushwick, Brooklyn",
Entire Apartment (~700 sq feet),118,Entire home/apt,5 reviews,"Williamsburg, Brooklyn"
"Lovely Park Slope Apt, Brooklyn",95,Private room,22 reviews,"Park Slope, Brooklyn"
"Awesome Apt by 2,3,4,5,C,B,Q train",68,Entire home/apt,54 reviews,"Crown Heights, Brooklyn"
Northside Williamsburg Brooklyn Sm,50,Private room,1 review,"Williamsburg, Brooklyn"
"Cozy Rooftop apt in Brooklyn, NY",90,Entire home/apt,33 reviews,"Clinton Hill, Brooklyn"
Bright Bklyn Brownstone - Top Floor,45,Private room,8 reviews,"Crown Heights, Brooklyn"
"The Hillary, Lovely Garden Duplex,",136,Entire home/apt,47 reviews,"Bedford-Stuyvesant, Brooklyn"
Living Room Sofa Bed in BROOKLYN,38,Shared room,44 reviews,"Bushwick, Brooklyn"
Best Neighborhood Carroll Gardens,249,Entire home/apt,39 reviews,"Carroll Gardens, Brooklyn"
Our-Big-Clean-Cozy-Chic-Unique Home,127,Entire home/apt,7 reviews,"Bushwick, Brooklyn"
Spacious Suite in Brownstone,86,Entire home/apt,8 reviews,"Bedford-Stuyvesant, Brooklyn"
"Lovely Home--Clinton Hill, Brooklyn",136,Entire home/apt,8 reviews,"Clinton Hill, Brooklyn"
Large 1BR right by Prospect Park,86,Entire home/apt,3 reviews,"Windsor Terrace, Brooklyn"
Charming Studio in Heart of Dumbo,136,Private room,6 reviews,"DUMBO, Brooklyn"
STEAL - Spacious apartment BROOKLYN,61,Entire home/apt,"Bedford-Stuyvesant, Brooklyn",
Bright Roomy Quiet Clean 3 bdr apt,90,Entire home/apt,6 reviews,"Greenpoint, Brooklyn"
2BDRM Loft Apt-10 Mins to Manhattan,90,Entire home/apt,14 reviews,"Bedford-Stuyvesant, Brooklyn"
Greenpoint small studio,68,Private room,21 reviews,"Greenpoint, Brooklyn"
"Private Rm., Huge Apt., Near L Trn",41,Private room,14 reviews,"Williamsburg, Brooklyn"
Greenpoint small studio,68,Private room,21 reviews,"Greenpoint, Brooklyn"
"Private Rm., Huge Apt., Near L Trn",41,Private room,14 reviews,"Williamsburg, Brooklyn"
$55 Per/night PRIVATE ROOM NEW YORK,50,Private room,31 reviews,"Crown Heights, Brooklyn"
Cute + Cozy: Park Slope One Bedroom,122,Entire home/apt,3 reviews,"Park Slope, Brooklyn"
Best Location Bright Apt- Bedford L,127,Entire home/apt,13 reviews,"Williamsburg, Brooklyn"
Gorgeous Williamsburg 1 Bedroom Apt,203,Entire home/apt,164 reviews,"Williamsburg, Brooklyn"
Your Own 2 Br Apt Bedford and Grand,163,Entire home/apt,78 reviews,"Williamsburg, Brooklyn"
Guestroom w/ 2 beds 20 mins to NYC,50,Private room,91 reviews,"Bushwick, Brooklyn"
"Huge quiet, cozy room",45,Private room,5 reviews,"Bedford-Stuyvesant, Brooklyn"
Private Wburg Room w/ View of City,68,Private room,16 reviews,"Williamsburg, Brooklyn"
Prospect Heights/Park Slope Beauty,136,Entire home/apt,51 reviews,"Prospect Heights, Brooklyn"
Fort Greene Retreat on the Park,77,Private room,67 reviews,"Fort Greene, Brooklyn"
"Bright,spacious Brooklyn Heights1BR",99,Entire home/apt,4 reviews,"Brooklyn Heights, Brooklyn"
WOW LOCATION COZIEST STUDIO TERRACE,116,Entire home/apt,44 reviews,"Williamsburg, Brooklyn"
PRIVATE SUITE in Williamsburg BK,72,Private room,3 reviews,"Williamsburg, Brooklyn"
Lovely Waterfront Apartment Rental,117,Entire home/apt,37 reviews,"Williamsburg, Brooklyn"
Fabulous Industrial Dumbo Loft,113,Private room,35 reviews,"DUMBO, Brooklyn"
Sunny Brand New Park Slope Studio,113,Entire home/apt,20 reviews,"Park Slope, Brooklyn"
Private Suite for Cheap,36,Private room,10 reviews,"Crown Heights, Brooklyn"
Classic Artists Loft Best Block,194,Entire home/apt,15 reviews,"Williamsburg, Brooklyn"
Converted Church in Williamsburg,181,Entire home/apt,"Williamsburg, Brooklyn",
2 STORY DUPLEX PRIME WILLIAMSBURG,90,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Sunny 2bdrm Park Slope artist's apt,131,Entire home/apt,9 reviews,"Park Slope, Brooklyn"
Relaxed Elegance in a Brownstone,72,Private room,15 reviews,"Bedford-Stuyvesant, Brooklyn"
Bedford Ave Artist Loft,316,Entire home/apt,28 reviews,"Williamsburg, Brooklyn"
Authentic Artist Loft in Brooklyn,316,Entire home/apt,8 reviews,"Gowanus, Brooklyn"
Charming Carriage House Suite,141,Entire home/apt,179 reviews,"Williamsburg, Brooklyn"
"Quaint, beautiful studio Brooklyn",136,Entire home/apt,37 reviews,"Boerum Hill, Brooklyn"
"Private, Peaceful Garden-View Room",50,Private room,7 reviews,"Crown Heights, Brooklyn"
Fort Greene Brooklyn Studio Apt,127,Entire home/apt,2 reviews,"Fort Greene, Brooklyn"
Huge BR in W'Burg - pvt terrace,99,Private room,4 reviews,"Williamsburg, Brooklyn"
Beautiful Apt. in Prospect Heights,113,Entire home/apt,61 reviews,"Crown Heights, Brooklyn"
LOFTY Brooklyn 2BR - 10 mins to NYC,167,Entire home/apt,30 reviews,"Carroll Gardens, Brooklyn"
Cozy room in Brooklyn brownstone,59,Private room,3 reviews,"Crown Heights, Brooklyn"
Poet's Apartment,136,Entire home/apt,2 reviews,"Boerum Hill, Brooklyn"
"Small Cozy Room, Ideal Location",63,Private room,4 reviews,"Fort Greene, Brooklyn"
NYC-Brooklyn #1 18 min to Manhattan,35,Private room,72 reviews,"Bedford-Stuyvesant, Brooklyn"
Warm Rock Climbing Loft + Hammock,53,Private room,26 reviews,"Bedford-Stuyvesant, Brooklyn"
"Chill Spot w/ Roof & Yard by JMZ, L",49,Private room,21 reviews,"Bushwick, Brooklyn"
Musician & Artist Haven,59,Private room,1 review,"Bushwick, Brooklyn"
Entire amazing artist loft,99,Entire home/apt,1 review,"Bushwick, Brooklyn"
2 Bedroom apartment in Williamsburg,163,Entire home/apt,42 reviews,"Williamsburg, Brooklyn"
Floor in Fort Greene brownstone,99,Entire home/apt,7 reviews,"Fort Greene, Brooklyn"
Two Bedrooms with Private Rooftop,176,Entire home/apt,6 reviews,"Williamsburg, Brooklyn"
Bright spacious studio room William,90,Private room,4 reviews,"Williamsburg, Brooklyn"
"Room for Rent in Brooklyn, NY",26,Private room,"Williamsburg, Brooklyn",
New Luxury 2-Bed Apt In Brooklyn!,90,Entire home/apt,15 reviews,"Sunset Park, Brooklyn"
Apartment in Heart of Greenpoint,59,Private room,4 reviews,"Greenpoint, Brooklyn"
Brownstone Home - BEST BKLYN BLOCK!,203,Entire home/apt,23 reviews,"Boerum Hill, Brooklyn"
Open Design Williamsburg Loft,252,Entire home/apt,52 reviews,"Williamsburg, Brooklyn"
Loft in Williamsburg Area w/ Roof,41,Private room,111 reviews,"Williamsburg, Brooklyn"
CHARMING APARTMENT NEAR A/J TRAINS,44,Private room,32 reviews,"East New York, Jamaica"
BIG & Sunny Private Top Floor 1 BR,80,Entire home/apt,4 reviews,"Prospect Heights, Brooklyn"
Master Bedroom in Hip Williamsburg,59,Private room,3 reviews,"Williamsburg, Brooklyn"
Brownstone Brooklyn roomy bed/bath,109,Private room,95 reviews,"Boerum Hill, Brooklyn"
Small room in lovely shared house,43,Private room,38 reviews,"Greenpoint, Brooklyn"
"Heart of Ft. Greene, Brooklyn",81,Entire home/apt,5 reviews,"Fort Greene, Brooklyn"
Charming 1 BR right next to Bedford,72,Private room,3 reviews,"Williamsburg, Brooklyn"
Private room in a brownstone,54,Private room,18 reviews,"Bedford-Stuyvesant, Brooklyn"
Mellow Greenpoint Pad,99,Entire home/apt,3 reviews,"Greenpoint, Brooklyn"
Prime Fort Greene Charmer!,181,Entire home/apt,22 reviews,"Fort Greene, Brooklyn"
Brooklyn Prospect Park Cozy Single,81,Private room,95 reviews,"Prospect Heights, Brooklyn"
Sunny Bedroom in Williamsburg,72,Private room,3 reviews,"Williamsburg, Brooklyn"
1901 charming townhouse,199,Entire home/apt,5 reviews,"Kensington, Brooklyn"
Private Room Overlooking Garden,48,Private room,1 review,"Bushwick, Brooklyn"
Room with Balcony on Lorimer,54,Private room,1 review,"Williamsburg, Brooklyn"
Stunning Greenpoint Penthouse,90,Private room,15 reviews,"Greenpoint, Brooklyn"
POST CARD VIEWS of Park and Skyline,146,Entire home/apt,52 reviews,"Williamsburg, Brooklyn"
Greenpoint small studio,68,Private room,21 reviews,"Greenpoint, Brooklyn"
D Bright Luxury Room in Wberg Loft,90,Private room,21 reviews,"Williamsburg, Brooklyn"
Greenpoint Private Bright Bedroom,62,Private room,32 reviews,"Greenpoint, Brooklyn"
Oversized Bright FullyFurnished 1BR,54,Entire home/apt,20 reviews,"Bay Ridge, Brooklyn"
Huge Sunny Rm. Heart of Park Slope!,76,Private room,2 reviews,"Park Slope, Brooklyn"
Spacious Guest Room in Brownstone,59,Private room,6 reviews,"Crown Heights, Brooklyn"
"Steps From Art, Shopping & Eats",136,Entire home/apt,11 reviews,"Prospect Heights, Brooklyn"
Large 2 Story Loft- Bedford Ave,181,Entire home/apt,17 reviews,"Williamsburg, Brooklyn"
"Sunny Private Bedroom, Brooklyn NYC",63,Private room,3 reviews,"Bushwick, Brooklyn"
Calm and Cozy in Brooklyn,32,Private room,6 reviews,"Bedford-Stuyvesant, Brooklyn"
Historic River Storefront w/Garden,158,Entire home/apt,88 reviews,"Greenpoint, Brooklyn"
Photographer LOFT w/ Manhattan VIEW,104,Entire home/apt,47 reviews,"Brooklyn Navy Yard, Brooklyn"
LOFTY Brooklyn 2BR - 10 mins to NYC,167,Entire home/apt,30 reviews,"Carroll Gardens, Brooklyn"
Comfy space for Artists & creatives,35,Shared room,31 reviews,"Bedford-Stuyvesant, Brooklyn"
"Quiet, roomy, near all fun stuff!",113,Entire home/apt,15 reviews,"Williamsburg, Brooklyn"
Bright Private Large Rm Greenpoint,81,Private room,6 reviews,"Greenpoint, Brooklyn"
Private room off L train,59,Private room,4 reviews,"Williamsburg, Brooklyn"
Quirky Duplex - Historic Park Slope,68,Private room,41 reviews,"Park Slope, Brooklyn"
Luxury Rental In Downtown Brooklyn,176,Entire home/apt,30 reviews,"Downtown Brooklyn, Brooklyn"
City Skyline Views by Bedford Ave,136,Entire home/apt,14 reviews,"Williamsburg, Brooklyn"
Huge Gorgeous Artists Loft (Studio),122,Shared room,6 reviews,"Williamsburg, Brooklyn"
Mayor's Mansion - Garden Suite,113,Private room,55 reviews,"Fort Greene, Brooklyn"
Sunny Central Williamsburg Apt,127,Entire home/apt,10 reviews,"Williamsburg, Brooklyn"
Park Slope Brooklyn!  Sunny Bedroom,104,Private room,113 reviews,"Park Slope, Brooklyn"
Fun Comfy & Cozy apt Near Subway,170,Entire home/apt,14 reviews,"Williamsburg, Brooklyn"
Loft Studio in Brooklyn Brownstone,117,Entire home/apt,40 reviews,"Clinton Hill, Brooklyn"
Lovely Carroll Gardens Apartment,136,Entire home/apt,34 reviews,"Carroll Gardens, Brooklyn"
Modern Cozy Brownstone Apartment,90,Private room,43 reviews,"Williamsburg, Brooklyn"
Sunny private room in artists loft,75,Private room,22 reviews,"Bedford-Stuyvesant, Brooklyn"
Private Bedroom & Bathroom W/ Yard,59,Private room,32 reviews,"Bushwick, Brooklyn"
A Spacious Room in a Brooklyn House,68,Private room,15 reviews,"Lefferts Garden, Brooklyn"
Charming Garden Room with Queen Bed,54,Private room,19 reviews,"Bushwick, Brooklyn"
Beautiful Private Room by the park,61,Private room,10 reviews,"Williamsburg, Brooklyn"
Lovely Guestroom in Brownstone,59,Private room,9 reviews,"Crown Heights, Brooklyn"
Cozy room in nyc!,44,Private room,156 reviews,"Crown Heights, Brooklyn"
Park Slope livingroom/bedroom/bath,122,Private room,55 reviews,"Park Slope, Brooklyn"
Skylight BR in Gorgeous Rooftop Apt,80,Private room,83 reviews,"Bushwick, Brooklyn"
