Listing Name,Price,Room Type,Reviews,Location
Hip/Trendy Brooklyn Loft Apartment.,36,Private room,9 reviews,"Bedford-Stuyvesant, Brooklyn"
Large Sunny 1BR - Entire 2nd Floor,126,Entire home/apt,67 reviews,"Greenpoint, Brooklyn"
Sunny Williamsburg Penthouse,90,Private room,67 reviews,"Williamsburg, Brooklyn"
simple and clean in a great hood,44,Private room,34 reviews,Brooklyn
Guest Bedroom - 3 Blocks to L Train,80,Private room,11 reviews,"Williamsburg, Brooklyn"
"Budget Luxury, w/ Manhattan Views!",80,Private room,49 reviews,"Williamsburg, Brooklyn"
Greenpoint small studio,68,Private room,21 reviews,"Greenpoint, Brooklyn"
Cozy Room on Prospect Park!,41,Private room,57 reviews,"Flatbush, Brooklyn"
Best Location Bright Apt- Bedford L,127,Entire home/apt,13 reviews,"Williamsburg, Brooklyn"
1bdrm in sunny 2bd apt in cute area,96,Private room,1 review,"Clinton Hill, Brooklyn"
PRIVATE and SUNNY Williamsburg Apt!,126,Entire home/apt,145 reviews,"Williamsburg, Brooklyn"
Cozy Room in Greenpoint Brooklyn,54,Private room,3 reviews,"Greenpoint, Brooklyn"
"Cozy room, overlooking garden",59,Private room,24 reviews,"Bedford-Stuyvesant, Brooklyn"
3BR/2BA Duplex - 1min to subway!,167,Entire home/apt,10 reviews,"Bedford-Stuyvesant, Brooklyn"
Bright  1BR Near 7th Ave F Train!,136,Entire home/apt,25 reviews,"Park Slope, Brooklyn"
Williamsburg 1 bedroom Apartment,136,Entire home/apt,50 reviews,"Williamsburg, Brooklyn"
"Great location, cozy, near F, G, R!",127,Entire home/apt,8 reviews,"Park Slope, Brooklyn"
Lovely Private Room in Brownstone,72,Private room,28 reviews,"Crown Heights, Brooklyn"
Sunny Private Room in Williamsburg,81,Private room,2 reviews,"Williamsburg, Brooklyn"
Sunny Loft in Brooklyn by River,249,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Amazing Private Bedroom in Bushwick,56,Private room,2 reviews,"Bedford-Stuyvesant, Brooklyn"
Beautiful Room w/ Rooftop Patio!,90,Private room,15 reviews,"Williamsburg, Brooklyn"
carriage house apartment,136,Entire home/apt,83 reviews,"Clinton Hill, Brooklyn"
Experience NYC For $26 Per Night!,24,Shared room,42 reviews,"Bedford-Stuyvesant, Brooklyn"
Stay in the 2nd bedroom at The L,77,Private room,11 reviews,"Bushwick, Brooklyn"
Williamsburg Bed Steps to Bedford L,45,Private room,1 review,"Williamsburg, Brooklyn"
White Studio by Verrazano Bridge,68,Entire home/apt,41 reviews,"Bay Ridge, Brooklyn"
BUDGET ROOM 15 MINUTES TO MANHATTAN,53,Private room,9 reviews,"Bushwick, Brooklyn"
NYC Brklyn Cozy Rustic Artist Home,42,Private room,15 reviews,"Bushwick, Brooklyn"
The Notorious B.N.B. { Erhart II },180,Private room,24 reviews,"Clinton Hill, Brooklyn"
Spacious w/ Private Rooftop!,76,Private room,14 reviews,"Williamsburg, Brooklyn"
Sunny+Cozy Double bedroom in BKLYN!,52,Private room,79 reviews,"East Flatbush, Brooklyn"
Great 1 Bedroom Apt Williamsburg!,122,Entire home/apt,22 reviews,"Williamsburg, Brooklyn"
Luxury W-Burg With Private Entrance,149,Entire home/apt,37 reviews,"Williamsburg, Brooklyn"
LARGE WAREHOUSE LOFT w CITY Views7,68,Entire home/apt,64 reviews,"Bedford-Stuyvesant, Brooklyn"
Entire Waterfront Loft; City Views,90,Entire home/apt,72 reviews,"Brooklyn Navy Yard, Brooklyn"
ARTS LOFT+OFFICE  in PRIME W'burg!,80,Private room,94 reviews,"Williamsburg, Brooklyn"
The Library Loft- The Art Room,41,Private room,13 reviews,"Williamsburg, Brooklyn"
A Breathtaking Brooklyn Experience!,80,Private room,159 reviews,"Fort Greene, Brooklyn"
Penthouse w Patio & Million-$-View!,133,Entire home/apt,20 reviews,"Bushwick, Brooklyn"
Huge sunny artist loft +roof garden,271,Entire home/apt,36 reviews,"Gowanus, Brooklyn"
Spacious & Sunny in Prime Brooklyn,136,Entire home/apt,27 reviews,"Clinton Hill, Brooklyn"
The Williamsburg Experience.,46,Private room,72 reviews,"Williamsburg, Brooklyn"
Charming Boerum Hill - Private Deck,77,Private room,88 reviews,"Boerum Hill, Brooklyn"
Luxury Romantic PENTHOUSE wPOOL 1BD,180,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Nice room next to Prospect Park!,53,Private room,48 reviews,"Lefferts Garden, New York"
East Williamsburg/Bed Stuy Sublet,32,Private room,6 reviews,"Bedford-Stuyvesant, Brooklyn"
Stunning! Williamsburg Dream Room.,99,Private room,55 reviews,"Williamsburg, Brooklyn"
Sunny Room 1/2 Block from L Train!,50,Private room,54 reviews,"Bushwick, Brooklyn"
Private room in cartoonist home,41,Private room,"Flatbush, Brooklyn",
Bedroom//Hip Neighborhood//Backyard,36,Private room,71 reviews,"Bushwick, Brooklyn"
Quiet Park Slope Apt Near All,172,Entire home/apt,24 reviews,"Park Slope, Brooklyn"
1BR Modern New Apt in Brooklyn,96,Entire home/apt,3 reviews,"Crown Heights, Brooklyn"
A Breathtaking Brooklyn Experience!,80,Private room,159 reviews,"Fort Greene, Brooklyn"
Minutes to Manhattan. Private Bath!,109,Private room,18 reviews,"Clinton Hill, Brooklyn"
Clean Private Room (in Brooklyn),56,Private room,77 reviews,"Greenpoint, Brooklyn"
"Spacious, Cool 1-BD in Brooklyn",54,Entire home/apt,1 review,"Crown Heights, Brooklyn"
